anomaly_id,latitude,longitude,nearest_industry,nearest_industry_name,distance_m,land_cover,nearest_forest_km,population_proximity
ANM0089,20.54635,78.66923,oil_gas,Facility_88,1813.3,water,9.54,low
ANM0090,22.35355,81.80788,industrial_zone,Facility_89,4171.4,unknown,12.59,low
ANM0091,27.73472,82.32427,oil_gas,Facility_90,3684.6,agricultural,24.98,medium
ANM0092,18.09589,80.93492,none,Facility_91,9743.2,unknown,0.05,low
ANM0093,25.32177,90.91705,industrial_zone,Facility_92,2697.3,forest,1.08,unknown
ANM0094,24.03342,71.65476,refinery,Facility_93,269.0,residential,3.67,high
ANM0095,30.38706,76.03875,factory,Facility_94,164.6,residential,0.35,high
ANM0096,27.8508,82.10002,landfill,Facility_95,1754.7,forest,20.57,high
ANM0097,34.80581,77.90461,refinery,Facility_96,963.0,forest,16.78,low
ANM0098,30.61836,76.24752,power_plant,Facility_97,2413.3,industrial,3.42,medium
ANM0099,32.11452,86.92445,power_plant,Facility_98,4956.2,unknown,9.99,low
ANM0100,11.19892,92.66548,none,Facility_99,18296.0,residential,10.36,low
ANM0101,11.68991,79.41026,none,Facility_100,18815.9,unknown,3.78,medium
ANM0102,29.27222,86.2633,none,Facility_101,12554.5,unknown,2.44,unknown
ANM0103,21.2965,69.77782,factory,Facility_102,396.7,industrial,10.03,low
ANM0104,17.11222,85.7178,none,Facility_103,16998.1,unknown,2.99,medium
ANM0105,27.76077,82.30419,none,Facility_104,9716.8,forest,12.41,medium
ANM0106,32.09862,91.36741,none,Facility_105,17560.7,forest,5.05,medium
ANM0107,34.75186,94.92726,industrial_zone,Facility_106,1539.0,unknown,3.42,high
ANM0108,24.48005,77.68275,factory,Facility_107,196.0,unknown,2.5,high
ANM0109,12.72988,78.3728,power_plant,Facility_108,3950.2,agricultural,1.71,unknown
ANM0110,8.8527,72.18056,none,Facility_109,17629.9,industrial,1.1,medium
ANM0111,27.63369,85.22642,industrial_zone,Facility_110,3645.3,residential,0.05,medium
ANM0112,24.45459,72.99295,factory,Facility_111,299.3,unknown,1.55,low
ANM0113,20.9645,80.87976,factory,Facility_112,2154.8,residential,0.09,low
ANM0114,27.95501,81.49116,mine,Facility_113,680.5,industrial,1.25,unknown
ANM0115,29.71774,81.55407,oil_gas,Facility_114,4618.2,agricultural,16.53,low
ANM0116,10.64285,76.00179,none,Facility_115,16140.4,industrial,12.37,medium
ANM0117,20.92472,80.8572,none,Facility_116,5220.2,water,12.02,medium
ANM0118,34.79067,89.87647,none,Facility_117,17407.6,unknown,2.0,unknown
ANM0119,10.92432,71.6789,industrial_zone,Facility_118,1015.1,industrial,14.92,low
ANM0120,27.96465,91.22528,landfill,Facility_119,2140.6,agricultural,5.75,unknown
ANM0121,29.74801,73.01345,mine,Facility_120,1644.5,agricultural,0.22,high
ANM0122,9.8803,72.00193,landfill,Facility_121,71.0,mining,1.31,unknown
ANM0123,16.32841,94.94803,power_plant,Facility_122,103.8,unknown,5.41,low
ANM0124,11.7047,86.95265,industrial_zone,Facility_123,968.6,forest,0.89,high
ANM0125,20.47069,72.67688,power_plant,Facility_124,2310.0,forest,0.59,low
ANM0126,25.30553,87.60455,industrial_zone,Facility_125,1450.9,residential,7.15,low
ANM0127,10.28132,95.14225,refinery,Facility_126,350.8,forest,0.03,high
ANM0128,34.48713,69.22804,oil_gas,Facility_127,2484.9,unknown,0.18,medium
ANM0129,15.78216,89.27885,power_plant,Facility_128,5109.1,agricultural,9.75,unknown
ANM0130,32.89123,77.63273,mine,Facility_129,665.7,forest,1.75,medium
ANM0131,11.63291,83.54597,oil_gas,Facility_130,1025.6,unknown,13.45,medium
ANM0132,34.12501,92.30596,none,Facility_131,14613.3,forest,7.69,medium
ANM0133,33.73098,70.08284,mine,Facility_132,571.0,agricultural,5.75,medium
ANM0134,27.74089,82.28331,refinery,Facility_133,688.1,forest,2.14,unknown
