anomaly_id,latitude,longitude,brightness,confidence,detections_30d,persistence_score,first_detected,last_detected,n_detections_total
ANM0044,31.7145,77.33899,347.0,48.0,1,0.02,2026-08-20,2026-08-20,1
ANM0045,32.54438,95.0312,332.4,100.0,1,0.02,2026-08-20,2026-08-20,1
ANM0046,33.47132,71.68112,325.5,31.0,1,0.02,2026-08-19,2026-08-19,1
ANM0047,22.69065,93.69077,298.8,95.0,1,0.02,2026-08-19,2026-08-19,1
ANM0048,13.30374,76.99939,329.6,76.0,1,0.02,2026-08-18,2026-08-18,1
ANM0049,18.07264,84.38726,322.5,87.0,1,0.02,2026-08-18,2026-08-18,1
ANM0050,27.89243,82.11514,339.3,75.0,1,0.02,2026-08-18,2026-08-18,1
ANM0051,10.74822,70.48117,323.9,88.0,1,0.02,2026-08-18,2026-08-18,1
ANM0052,30.65769,72.01154,317.0,78.0,1,0.02,2026-08-17,2026-08-17,1
ANM0053,12.25524,71.0018,319.4,72.0,1,0.02,2026-08-17,2026-08-17,1
ANM0054,26.34517,74.97373,329.7,59.0,1,0.02,2026-08-17,2026-08-17,1
ANM0055,29.74305,73.03316,362.9,47.0,1,0.02,2026-08-16,2026-08-16,1
ANM0056,29.27423,86.31705,343.3,100.0,1,0.02,2026-08-16,2026-08-16,1
ANM0057,34.87754,90.39104,311.6,73.0,1,0.02,2026-08-16,2026-08-16,1
ANM0058,23.29336,83.97635,356.9,73.0,1,0.02,2026-08-15,2026-08-15,1
ANM0059,26.98356,75.62377,343.4,91.0,3,0.353,2026-07-24,2026-08-15,4
ANM0060,24.47646,77.65475,356.4,70.0,1,0.02,2026-08-14,2026-08-14,1
ANM0061,26.96035,75.6211,349.5,84.0,1,0.02,2026-08-13,2026-08-13,1
ANM0062,20.92854,80.88217,342.4,76.3,1,0.327,2026-07-21,2026-08-13,3
ANM0063,27.7502,82.29206,367.5,50.0,1,0.02,2026-08-12,2026-08-12,1
ANM0064,16.18646,80.75446,343.4,81.0,1,0.02,2026-08-11,2026-08-11,1
ANM0065,28.19573,91.63712,302.3,82.0,1,0.02,2026-08-11,2026-08-11,1
ANM0066,34.93702,72.65129,295.1,72.0,1,0.02,2026-08-11,2026-08-11,1
ANM0067,12.1466,90.52397,322.1,65.0,1,0.02,2026-08-09,2026-08-09,1
ANM0068,17.25327,73.13983,331.0,70.0,1,0.02,2026-08-09,2026-08-09,1
ANM0069,28.1325,77.89998,309.8,95.0,1,0.02,2026-08-09,2026-08-09,1
ANM0070,24.40907,85.15496,344.8,67.5,1,0.42,2026-07-09,2026-08-09,2
ANM0071,29.41156,85.97172,312.3,84.0,1,0.02,2026-08-09,2026-08-09,1
ANM0072,27.73516,82.27229,335.0,96.0,1,0.02,2026-08-07,2026-08-07,1
ANM0073,26.13355,74.89209,283.8,70.0,0,0.0,2026-08-06,2026-08-06,1
ANM0074,31.70575,91.56273,316.1,75.0,0,0.0,2026-08-06,2026-08-06,1
ANM0075,23.53296,70.70017,326.8,52.0,0,0.0,2026-08-06,2026-08-06,1
ANM0076,27.61018,85.22017,340.6,93.0,0,0.0,2026-08-05,2026-08-05,1
ANM0077,32.36723,92.04354,320.5,61.0,0,0.0,2026-08-05,2026-08-05,1
ANM0078,13.25525,81.53491,325.5,62.0,0,0.0,2026-08-05,2026-08-05,1
ANM0079,9.58891,85.33782,334.0,62.0,0,0.0,2026-08-04,2026-08-04,1
ANM0080,28.56338,79.09272,343.7,83.0,0,0.0,2026-08-04,2026-08-04,1
ANM0081,24.50142,77.65144,337.8,75.0,0,0.0,2026-08-04,2026-08-04,1
ANM0082,29.92914,92.96127,336.2,60.0,0,0.0,2026-08-04,2026-08-04,1
ANM0083,22.09346,94.38413,326.6,94.0,0,0.0,2026-08-02,2026-08-02,1
ANM0084,23.70608,87.51062,343.5,97.0,0,0.0,2026-08-02,2026-08-02,1
ANM0085,21.33972,76.70789,347.1,68.0,0,0.0,2026-08-02,2026-08-02,1
ANM0086,24.26903,88.14145,339.6,69.0,0,0.0,2026-08-01,2026-08-01,1
ANM0087,21.27894,83.33107,303.2,60.0,0,0.0,2026-07-31,2026-07-31,1
ANM0088,10.71068,75.67165,303.9,92.0,0,0.0,2026-07-31,2026-07-31,1
ANM0089,20.54635,78.66923,290.0,90.0,0,0.0,2026-07-31,2026-07-31,1
ANM0090,22.35355,81.80788,313.2,40.0,0,0.0,2026-07-30,2026-07-30,1
ANM0091,27.73472,82.32427,345.0,74.0,0,0.0,2026-07-30,2026-07-30,1
ANM0092,18.09589,80.93492,308.5,85.0,0,0.0,2026-07-29,2026-07-29,1
ANM0093,25.32177,90.91705,307.0,66.0,0,0.0,2026-07-29,2026-07-29,1
ANM0094,24.03342,71.65476,323.0,73.0,0,0.0,2026-07-28,2026-07-28,1
ANM0095,30.38706,76.03875,314.0,89.0,0,0.0,2026-07-28,2026-07-28,1
ANM0096,27.8508,82.10002,339.1,84.5,0,0.187,2026-07-13,2026-07-27,4
ANM0097,34.80581,77.90461,324.1,74.0,0,0.0,2026-07-26,2026-07-26,1
ANM0098,30.61836,76.24752,328.5,63.0,0,0.0,2026-07-25,2026-07-25,1
ANM0099,32.11452,86.92445,335.7,81.0,0,0.0,2026-07-25,2026-07-25,1
ANM0100,11.19892,92.66548,316.9,94.0,0,0.0,2026-07-25,2026-07-25,1
ANM0101,11.68991,79.41026,315.9,68.0,0,0.0,2026-07-24,2026-07-24,1
ANM0102,29.27222,86.2633,345.1,57.5,0,0.147,2026-07-12,2026-07-23,2
ANM0103,21.2965,69.77782,329.7,90.0,0,0.0,2026-07-22,2026-07-22,1
ANM0104,17.11222,85.7178,335.9,76.0,0,0.0,2026-07-22,2026-07-22,1
ANM0105,27.76077,82.30419,330.1,100.0,0,0.0,2026-07-21,2026-07-21,1
ANM0106,32.09862,91.36741,287.2,98.0,0,0.0,2026-07-21,2026-07-21,1
ANM0107,34.75186,94.92726,318.6,76.0,0,0.0,2026-07-21,2026-07-21,1
ANM0108,24.48005,77.68275,335.5,63.0,0,0.0,2026-07-21,2026-07-21,1
ANM0109,12.72988,78.3728,299.4,58.0,0,0.0,2026-07-20,2026-07-20,1
ANM0110,8.8527,72.18056,350.3,43.0,0,0.0,2026-07-20,2026-07-20,1
ANM0111,27.63369,85.22642,355.1,89.0,0,0.0,2026-07-20,2026-07-20,1
ANM0112,24.45459,72.99295,310.2,75.0,0,0.0,2026-07-20,2026-07-20,1
ANM0113,20.9645,80.87976,356.8,93.0,0,0.0,2026-07-19,2026-07-19,1
ANM0114,27.95501,81.49116,311.9,89.0,0,0.0,2026-07-19,2026-07-19,1
ANM0115,29.71774,81.55407,311.1,72.0,0,0.0,2026-07-18,2026-07-18,1
ANM0116,10.64285,76.00179,325.9,75.0,0,0.0,2026-07-17,2026-07-17,1
ANM0117,20.92472,80.8572,348.9,64.0,0,0.0,2026-07-15,2026-07-15,1
ANM0118,34.79067,89.87647,306.1,73.0,0,0.0,2026-07-15,2026-07-15,1
ANM0119,10.92432,71.6789,318.3,89.0,0,0.0,2026-07-15,2026-07-15,1
ANM0120,27.96465,91.22528,323.6,65.0,0,0.0,2026-07-14,2026-07-14,1
ANM0121,29.74801,73.01345,340.8,84.5,0,0.067,2026-07-09,2026-07-14,2
ANM0122,9.8803,72.00193,326.5,51.0,0,0.0,2026-07-13,2026-07-13,1
ANM0123,16.32841,94.94803,292.9,70.0,0,0.0,2026-07-13,2026-07-13,1
ANM0124,11.7047,86.95265,330.5,57.0,0,0.0,2026-07-13,2026-07-13,1
ANM0125,20.47069,72.67688,320.2,73.0,0,0.0,2026-07-12,2026-07-12,1
ANM0126,25.30553,87.60455,301.6,73.0,0,0.0,2026-07-11,2026-07-11,1
ANM0127,10.28132,95.14225,319.0,59.0,0,0.0,2026-07-11,2026-07-11,1
ANM0128,34.48713,69.22804,310.0,58.0,0,0.0,2026-07-11,2026-07-11,1
ANM0129,15.78216,89.27885,295.2,78.0,0,0.0,2026-07-10,2026-07-10,1
ANM0130,32.89123,77.63273,329.1,100.0,0,0.0,2026-07-10,2026-07-10,1
ANM0131,11.63291,83.54597,322.3,69.0,0,0.0,2026-07-10,2026-07-10,1
ANM0132,34.12501,92.30596,314.7,73.0,0,0.0,2026-07-10,2026-07-10,1
ANM0133,33.73098,70.08284,324.3,62.0,0,0.0,2026-07-09,2026-07-09,1
ANM0134,27.74089,82.28331,351.9,65.0,0,0.0,2026-07-09,2026-07-09,1
